Country,G_Female,G_Male,G_Mixed,S_Female,S_Male,S_Mixed,B_Female,B_Male,B_Mixed,T_Female,T_Male,T_Mixed,Total
Albania,,0,0,0,0,,,,,,,,
Grenada,,0,0,0,0,,,,,,,,
Cabo Verde,,0,0,0,0,,,,,,,,
Cape Verde,,0,0,0,0,,,,,,,,
Fiji,,0,0,0,0,,,,,,,,
Ivory Coast,,0,0,0,0,,,,,,,,
Zambia,,0,0,0,0,,,,,,,,
Côte d'Ivoire,0,0,0,0,,,,,,,,,
Afghanistan,0,0,0,0,,,,,,,,,
American,,,,,,,,,,,,,
Samoa,0,0,0,0,,,,,,,,,
Andorra,0,0,0,0,,,,,,,,,
Angola,0,0,0,0,,,,,,,,,
Antigua and,,,,,,,,,,,,,
Barbuda,0,0,0,0,,,,,,,,,
Aruba,0,0,0,0,,,,,,,,,
Bahamas,0,0,0,0,,,,,,,,,
Barbados,0,0,0,0,,,,,,,,,
Belize,0,0,0,0,,,,,,,,,
Benin,0,0,0,0,,,,,,,,,
Bermuda,0,0,0,0,,,,,,,,,
Bhutan,0,0,0,0,,,,,,,,,
Bolivia,0,0,0,0,,,,,,,,,
British Virgin,,,,,,,,,,,,,
Islands,0,0,0,0,,,,,,,,,
Burkina Faso,0,0,0,0,,,,,,,,,
Burundi,0,0,0,0,,,,,,,,,
Cambodia,0,0,0,0,,,,,,,,,
Cameroon,0,0,0,0,,,,,,,,,
Cayman Islands,0,0,0,0,,,,,,,,,
Central African,,,,,,,,,,,,,
Republic,0,0,0,0,,,,,,,,,
Chad,0,0,0,0,,,,,,,,,
Comoros,0,0,0,0,,,,,,,,,
Congo,0,0,0,0,,,,,,,,,
Cook Islands,0,0,0,0,,,,,,,,,
Democratic,,,,,,,,,,,,,
Republic of the,,,,,,,,,,,,,
Congo,0,0,0,0,,,,,,,,,
Djibouti,0,0,0,0,,,,,,,,,
El Salvador,0,0,0,0,,,,,,,,,
Equatorial,,,,,,,,,,,,,
Guinea,0,0,0,0,,,,,,,,,
Eritrea,0,0,0,0,,,,,,,,,
Estonia,0,0,0,0,,,,,,,,,
Eswatini,0,0,0,0,,,,,,,,,
Federated,,,,,,,,,,,,,
States of,,,,,,,,,,,,,
Micronesia,0,0,0,0,,,,,,,,,
Gabon,0,0,0,0,,,,,,,,,
Gambia,0,0,0,0,,,,,,,,,
Ghana,0,0,0,0,,,,,,,,,
Guam,0,0,0,0,,,,,,,,,
Guinea,0,0,0,0,,,,,,,,,
Guinea-Bissau,0,0,0,0,,,,,,,,,
Guyana,0,0,0,0,,,,,,,,,
Haiti,0,0,0,0,,,,,,,,,
Honduras,0,0,0,0,,,,,,,,,
Iceland,0,0,0,0,,,,,,,,,
Individual,,,,,,,,,,,,,
Neutral Athletes,0,0,0,0,,,,,,,,,
Kiribati,0,0,0,0,,,,,,,,,
Lao People’s,,,,,,,,,,,,,
Democratic,,,,,,,,,,,,,
Republic,0,0,0,0,,,,,,,,,
Lebanon,0,0,0,0,,,,,,,,,
Lesotho,0,0,0,0,,,,,,,,,
Liberia,0,0,0,0,,,,,,,,,
Libya,0,0,0,0,,,,,,,,,
Liechtenstein,0,0,0,0,,,,,,,,,
Madagascar,0,0,0,0,,,,,,,,,
Malawi,0,0,0,0,,,,,,,,,
Maldives,0,0,0,0,,,,,,,,,
Mali,0,0,0,0,,,,,,,,,
Malta,0,0,0,0,,,,,,,,,
Marshall Islands,0,0,0,0,,,,,,,,,
Mauritania,0,0,0,0,,,,,,,,,
Monaco,0,0,0,0,,,,,,,,,
Mozambique,0,0,0,0,,,,,,,,,
Myanmar,0,0,0,0,,,,,,,,,
Nauru,0,0,0,0,,,,,,,,,
Nicaragua,0,0,0,0,,,,,,,,,
Niger,0,0,0,0,,,,,,,,,
North,,,,,,,,,,,,,
Macedonia,0,0,0,0,,,,,,,,,
Oman,0,0,0,0,,,,,,,,,
Palau,0,0,0,0,,,,,,,,,
Palestine,0,0,0,0,,,,,,,,,
Papua New,,,,,,,,,,,,,
Guinea,0,0,0,0,,,,,,,,,
Paraguay,0,0,0,0,,,,,,,,,
Rwanda,0,0,0,0,,,,,,,,,
Saint Kitts and,,,,,,,,,,,,,
Nevis,0,0,0,0,,,,,,,,,
Saint Vincent,,,,,,,,,,,,,
and the,,,,,,,,,,,,,
Grenadines,0,0,0,0,,,,,,,,,
Samoa,0,0,0,0,,,,,,,,,
San Marino,0,0,0,0,,,,,,,,,
Sao Tome and,,,,,,,,,,,,,
Principe,0,0,0,0,,,,,,,,,
Senegal,0,0,0,0,,,,,,,,,
Seychelles,0,0,0,0,,,,,,,,,
Sierra Leone,0,0,0,0,,,,,,,,,
Solomon Islands,0,0,0,0,,,,,,,,,
Somalia,0,0,0,0,,,,,,,,,
South Sudan,0,0,0,0,,,,,,,,,
Sudan,0,0,0,0,,,,,,,,,
Suriname,0,0,0,0,,,,,,,,,
Syria,0,0,0,0,,,,,,,,,
Tanzania,0,0,0,0,,,,,,,,,
Timor-Leste,0,0,0,0,,,,,,,,,
Togo,0,0,0,0,,,,,,,,,
Tonga,0,0,0,0,,,,,,,,,
Turkmenistan,0,0,0,0,,,,,,,,,
Tuvalu,0,0,0,0,,,,,,,,,
United Arab,,,,,,,,,,,,,
Emirates,0,0,0,0,,,,,,,,,
Uruguay,0,0,0,0,,,,,,,,,
Vanuatu,0,0,0,0,,,,,,,,,
Virgin,,,,,,,,,,,,,
Islands British,0,0,0,0,,,,,,,,,
"Virgin Islands,",,,,,,,,,,,,,
US,0,0,0,0,,,,,,,,,
Yemen,0,0,0,0,,,,,,,,,
Zimbabwe,0,0,0,0,,,,,,,,,
